Well_ID,Region,Operator,Maintenance_Type,Shift,Equipment_Status,Weather_Condition,Alert_Level,Production_Date,Last_Maintenance_Date,No_of_Incidents,Production_Barrels,Temperature_C
W-02,Texas,TotalEnergies,Corrective,Night,Active,Cloudy,Low,2023-04-30,2022-07-11,8,553.89,25.2
W-01,Qatar,BP,Corrective,Night,Active,Rainy,High,2023-02-15,2022-10-29,1,488.55,35.2
W-05,Qatar,Chevron,Routine,Night,Active,Windy,Low,2024-10-26,2024-02-10,4,519.68,36.9
W-15,Texas,Shell,Routine,Day,Active,Windy,Low,2024-11-06,2023-10-07,5,507.43,22.2
W-04,North Sea,Shell,Corrective,Night,Active,Windy,Medium,2024-07-19,2023-12-06,5,352.0,25.3
W-15,Algeria,Chevron,Routine,Night,Standby,Rainy,Low,2023-08-02,2022-10-15,5,431.4,25.3
W-14,Algeria,Shell,Corrective,Day,Active,Sunny,High,2023-03-10,2022-06-13,6,334.11,23.2
W-15,Abu Dhabi,Shell,Routine,Day,Active,Cloudy,Low,2024-04-23,2023-12-15,2,483.66,26.3
W-09,Abu Dhabi,TotalEnergies,Routine,Day,Active,Sandstorm,Low,2023-11-05,2023-02-26,3,528.94,30.1
W-02,Qatar,BP,Routine,Night,Active,Sandstorm,Low,2023-03-27,2023-03-13,2,565.24,33.1
W-05,North Sea,Shell,Routine,Day,Active,Cloudy,Medium,2023-12-13,2023-05-14,4,395.24,21.8
W-03,Texas,BP,Corrective,Night,Active,Cloudy,Low,2023-01-25,2022-07-17,4,527.71,32.6
W-11,Abu Dhabi,ExxonMobil,Routine,Day,Active,Windy,Low,2024-09-28,2024-04-08,3,421.58,28.9
W-08,Qatar,TotalEnergies,Emergency,Day,Active,Windy,Low,2023-07-01,2022-05-28,4,516.55,35.2
W-08,North Sea,TotalEnergies,Emergency,Day,Active,Sunny,Low,2024-04-08,2023-05-20,8,445.75,33.4
W-11,Qatar,TotalEnergies,Corrective,Day,Active,Sandstorm,Low,2023-08-07,2023-04-15,7,528.83,43.0
W-08,North Sea,BP,Routine,Night,Active,Sandstorm,Low,2023-12-31,2023-01-17,10,350.52,32.5
W-05,Texas,Shell,Routine,Night,Active,Cloudy,Medium,2024-01-18,2022-12-26,9,376.37,31.2
W-02,North Sea,BP,Routine,Day,Active,Sandstorm,Critical,2023-05-10,2022-12-29,4,220.11,25.9
W-13,Qatar,BP,Routine,Day,Active,Rainy,Low,2024-11-09,2023-10-18,3,532.2,36.9
W-08,Texas,Shell,Corrective,Day,Active,Sandstorm,Low,2024-06-26,2023-11-11,5,436.55,25.3
W-06,North Sea,ExxonMobil,Routine,Day,Active,Sandstorm,Medium,2024-10-19,2024-07-21,2,430.76,19.2
W-13,North Sea,ExxonMobil,Routine,Night,Active,Cloudy,Medium,2024-09-18,2024-07-31,2,404.4,23.0
W-04,North Sea,BP,Routine,Night,Active,Windy,Low,2024-02-23,2023-07-18,4,361.6,38.2
W-05,Abu Dhabi,TotalEnergies,Corrective,Night,Standby,Rainy,Medium,2024-10-07,2024-03-18,3,472.52,21.7
W-10,Texas,TotalEnergies,Routine,Day,Standby,Windy,Low,2023-03-03,2022-09-23,5,452.11,28.8
W-06,Abu Dhabi,Shell,Routine,Night,Active,Rainy,Low,2023-05-18,2023-05-16,0,503.54,33.6
W-07,Abu Dhabi,BP,Routine,Day,Active,Sunny,Low,2023-02-01,2022-01-06,3,479.15,30.3
W-14,Texas,TotalEnergies,Routine,Night,Active,Rainy,Low,2023-08-16,2022-12-05,5,414.84,26.7
W-12,Abu Dhabi,BP,Corrective,Night,Active,Sunny,Low,2023-09-30,2023-02-04,7,417.78,25.4
W-05,North Sea,ExxonMobil,Routine,Night,Active,Sandstorm,Medium,2023-07-09,2023-06-27,3,459.49,24.1
W-03,Abu Dhabi,TotalEnergies,Corrective,Night,Active,Cloudy,High,2024-08-03,2023-11-12,8,419.62,23.8
W-08,Qatar,TotalEnergies,Routine,Night,Standby,Sandstorm,Low,2023-09-07,2022-10-28,5,631.81,36.5
W-03,North Sea,BP,Routine,Night,Standby,Windy,Critical,2023-07-16,2022-11-11,4,244.73,21.4
W-14,Algeria,TotalEnergies,Corrective,Day,Active,Rainy,Medium,2024-01-15,2023-09-03,4,429.05,27.7
W-14,Abu Dhabi,TotalEnergies,Routine,Night,Active,Sunny,Low,2023-04-09,2022-03-18,5,471.96,37.2
W-08,Texas,TotalEnergies,Routine,Night,Active,Sandstorm,Low,2024-07-15,2023-08-16,5,547.02,33.8
W-05,Texas,Chevron,Routine,Day,Active,Sunny,High,2023-02-22,2022-04-04,5,427.83,31.2
W-09,North Sea,BP,Routine,Night,Active,Windy,Low,2024-11-21,2023-12-15,5,374.89,25.7
W-11,Qatar,BP,Routine,Day,Active,Sunny,Medium,2024-06-24,2024-02-03,2,618.25,32.1
W-01,Texas,Shell,Routine,Night,Active,Cloudy,Low,2023-05-20,2023-05-03,5,433.3,20.4
W-12,North Sea,Chevron,Corrective,Night,Active,Sunny,Medium,2023-01-04,2022-09-23,2,456.93,31.0
W-04,Texas,ExxonMobil,Routine,Night,Active,Sunny,Low,2024-07-24,2023-11-24,4,492.58,29.2
W-09,Texas,ExxonMobil,Corrective,Day,Active,Cloudy,Low,2024-05-09,2023-05-25,3,428.52,31.7
W-07,Algeria,BP,Routine,Day,Active,Sandstorm,Low,2024-05-25,2024-03-13,7,343.26,19.7
W-04,Texas,Shell,Routine,Day,Active,Cloudy,Medium,2024-06-23,2023-12-13,2,524.0,25.5
W-11,Texas,Chevron,Routine,Night,Active,Windy,Low,2023-02-21,2023-01-21,1,539.63,28.0
W-04,Qatar,ExxonMobil,Routine,Night,Active,Sandstorm,Low,2023-09-08,2023-01-06,7,531.03,37.2
W-13,Algeria,BP,Emergency,Day,Active,Rainy,Low,2023-03-23,2022-05-18,3,399.88,23.7
W-12,Algeria,BP,Routine,Night,Active,Cloudy,Low,2024-08-27,2024-05-08,5,368.72,30.3
W-05,Abu Dhabi,BP,Corrective,Day,Failure,Cloudy,Low,2024-03-12,2023-05-07,5,451.46,27.9
W-12,North Sea,Shell,Routine,Day,Active,Sandstorm,Low,2023-08-20,2022-12-14,8,332.28,24.0
W-15,Algeria,ExxonMobil,Routine,Day,Active,Rainy,Low,2023-02-14,2022-03-02,10,335.93,26.2
W-05,North Sea,Chevron,Routine,Night,Active,Sunny,Medium,2023-08-06,2023-02-23,4,419.93,18.7
W-14,Algeria,Chevron,Routine,Day,Failure,Sandstorm,Medium,2023-08-16,2023-06-11,2,328.09,24.5
W-15,Texas,Shell,Routine,Night,Active,Sandstorm,Low,2024-05-25,2023-10-07,8,484.16,34.2
W-04,North Sea,Shell,Routine,Night,Active,Cloudy,Medium,2024-03-22,2024-02-29,3,393.42,32.7
W-01,Texas,TotalEnergies,Routine,Night,Active,Sunny,Low,2024-09-13,2023-11-12,7,406.14,22.1
W-08,Algeria,Chevron,Routine,Day,Active,Sunny,High,2023-11-27,2023-04-24,8,240.55,25.7
W-07,Abu Dhabi,TotalEnergies,Routine,Night,Active,Sandstorm,Low,2023-03-25,2022-03-10,9,434.55,27.2
W-04,North Sea,BP,Emergency,Night,Active,Sunny,Medium,2024-05-14,2023-09-05,8,336.39,34.0
W-12,Abu Dhabi,Chevron,Routine,Night,Active,Rainy,Medium,2024-06-16,2023-07-12,4,384.36,21.2
W-05,Texas,Chevron,Routine,Day,Active,Windy,Medium,2024-01-28,2024-01-16,1,495.54,29.2
W-09,Texas,Chevron,Routine,Night,Standby,Cloudy,Low,2024-06-23,2024-03-17,4,624.13,30.2
W-11,Algeria,BP,Corrective,Day,Active,Windy,Medium,2023-12-12,2023-11-16,4,405.05,30.6
W-15,Algeria,BP,Routine,Day,Active,Rainy,Medium,2024-01-01,2022-12-27,6,322.16,34.9
W-10,Texas,ExxonMobil,Routine,Day,Active,Cloudy,Low,2023-10-27,2023-05-19,4,511.06,31.1
W-12,Texas,TotalEnergies,Corrective,Day,Active,Rainy,Critical,2023-01-18,2022-05-03,9,368.01,26.9
W-04,Abu Dhabi,Chevron,Routine,Day,Active,Windy,Low,2023-03-17,2022-10-12,4,388.49,27.7
W-03,Algeria,Chevron,Routine,Day,Active,Sandstorm,High,2023-01-23,2022-09-16,7,247.44,21.8
W-02,Algeria,Shell,Corrective,Night,Active,Sandstorm,Low,2024-03-21,2023-12-07,4,351.93,25.6
W-13,Texas,Shell,Corrective,Day,Active,Rainy,Medium,2023-08-09,2022-12-10,4,361.8,29.0
W-08,Algeria,Chevron,Corrective,Day,Active,Rainy,Medium,2023-12-22,2023-03-07,3,411.91,15.2
W-05,North Sea,Chevron,Routine,Day,Standby,Windy,High,2024-09-27,2024-08-20,6,388.34,23.9
W-15,Algeria,Chevron,Routine,Night,Active,Sandstorm,Low,2023-06-24,2022-12-04,5,394.46,29.6
W-15,Abu Dhabi,BP,Emergency,Day,Active,Sandstorm,Medium,2023-10-15,2022-10-02,9,404.75,31.3
W-03,Abu Dhabi,BP,Corrective,Night,Standby,Sunny,Low,2024-06-12,2023-06-06,8,399.46,18.3
W-08,Texas,ExxonMobil,Emergency,Night,Active,Rainy,Medium,2023-06-10,2023-03-07,8,387.33,28.7
W-01,Qatar,Chevron,Routine,Day,Active,Sunny,Low,2023-02-23,2022-03-26,3,603.4,34.8
W-04,North Sea,ExxonMobil,Corrective,Day,Active,Cloudy,Low,2023-07-22,2022-09-06,4,446.33,24.9
W-10,Abu Dhabi,TotalEnergies,Routine,Night,Active,Sandstorm,Low,2023-04-23,2022-05-13,6,521.91,24.9
W-03,North Sea,Shell,Routine,Night,Active,Sandstorm,Medium,2024-10-12,2023-10-26,5,422.74,29.4
W-06,North Sea,TotalEnergies,Routine,Day,Active,Windy,High,2024-07-19,2024-03-04,5,347.04,27.1
W-03,Algeria,Chevron,Corrective,Night,Standby,Windy,Low,2024-03-19,2024-01-06,5,279.56,18.6
W-14,North Sea,ExxonMobil,Routine,Night,Failure,Rainy,Medium,2024-09-02,2024-04-28,4,419.94,27.0
W-06,North Sea,TotalEnergies,Corrective,Day,Standby,Sunny,Low,2024-07-16,2024-01-11,6,360.98,32.3
W-11,Abu Dhabi,Chevron,Routine,Night,Active,Sandstorm,Low,2023-05-11,2022-06-21,2,457.68,28.4
W-12,North Sea,ExxonMobil,Corrective,Night,Active,Windy,Low,2024-09-16,2024-03-04,4,439.34,30.8
W-07,Algeria,BP,Routine,Day,Active,Sunny,Low,2024-01-13,2023-03-02,9,222.63,30.7
W-14,Texas,Chevron,Routine,Night,Standby,Cloudy,Medium,2024-07-19,2024-07-01,4,414.01,37.2
W-02,Abu Dhabi,BP,Routine,Day,Active,Sandstorm,Low,2024-09-19,2023-09-03,8,440.36,32.6
W-15,Qatar,TotalEnergies,Routine,Day,Active,Rainy,Low,2023-08-11,2022-11-15,3,619.92,29.4
W-05,Texas,Shell,Routine,Day,Active,Sunny,Low,2023-03-19,2022-05-02,6,461.12,27.9
W-14,Texas,Shell,Corrective,Night,Active,Windy,Low,2023-06-09,2022-06-14,8,459.92,24.9
W-11,Texas,ExxonMobil,Routine,Day,Standby,Sandstorm,Medium,2023-10-26,2023-02-12,9,434.44,23.7
W-12,North Sea,BP,Routine,Night,Active,Rainy,High,2024-07-26,2023-12-24,8,413.38,21.9
W-02,Abu Dhabi,BP,Corrective,Day,Active,Sunny,Low,2024-08-25,2024-02-29,7,390.81,25.0
W-10,Texas,ExxonMobil,Routine,Night,Active,Cloudy,Medium,2023-01-05,2021-12-13,9,446.47,29.8
W-06,Abu Dhabi,ExxonMobil,Routine,Day,Standby,Cloudy,Medium,2023-12-24,2023-04-10,7,476.59,22.1
W-13,Texas,ExxonMobil,Routine,Day,Active,Sandstorm,Low,2023-10-20,2022-12-20,2,544.51,31.3
W-13,Abu Dhabi,TotalEnergies,Routine,Day,Active,Sandstorm,Medium,2023-06-05,2023-04-05,5,420.24,30.7
W-04,Algeria,ExxonMobil,Corrective,Day,Active,Rainy,Low,2023-03-25,2023-01-09,4,341.55,36.4
W-15,Texas,Shell,Routine,Day,Standby,Rainy,Low,2023-08-25,2023-05-05,8,364.42,29.2
W-11,Qatar,Chevron,Routine,Night,Standby,Windy,Medium,2024-10-22,2024-05-31,6,588.32,31.8
W-01,North Sea,TotalEnergies,Routine,Day,Active,Windy,Low,2023-08-15,2022-10-10,3,386.31,26.6
W-04,Abu Dhabi,BP,Emergency,Night,Active,Windy,Low,2023-12-30,2023-01-04,3,380.2,23.0
W-04,Texas,BP,Routine,Night,Active,Rainy,Medium,2024-05-07,2024-04-26,3,456.3,31.9
W-14,Algeria,TotalEnergies,Routine,Day,Active,Rainy,Low,2023-09-12,2023-01-29,10,341.2,27.6
W-15,Abu Dhabi,ExxonMobil,Routine,Day,Standby,Rainy,Low,2024-11-11,2024-01-21,4,430.02,41.4
W-15,Abu Dhabi,BP,Routine,Day,Active,Sandstorm,Low,2024-11-04,2024-07-07,3,400.41,29.1
W-14,Texas,Shell,Routine,Day,Active,Sandstorm,Medium,2023-06-26,2022-10-14,6,549.52,19.7
W-13,Qatar,Shell,Routine,Day,Active,Sandstorm,Low,2023-12-15,2023-06-11,8,552.98,38.3
W-15,Algeria,Shell,Corrective,Day,Active,Windy,Low,2023-07-30,2022-09-20,2,363.86,29.6
W-09,Texas,ExxonMobil,Routine,Day,Active,Rainy,Low,2023-07-19,2023-03-02,8,484.64,25.7
W-03,Texas,TotalEnergies,Routine,Night,Active,Sandstorm,Medium,2023-01-26,2022-04-28,8,416.5,30.9
W-12,Algeria,Shell,Routine,Night,Active,Sandstorm,Medium,2024-03-02,2023-08-05,5,328.85,32.7
W-07,Algeria,TotalEnergies,Corrective,Day,Active,Rainy,High,2023-12-18,2022-12-23,3,335.38,22.4
W-10,North Sea,Shell,Corrective,Day,Active,Sunny,Low,2023-02-06,2022-12-02,4,374.48,18.7
W-10,Qatar,TotalEnergies,Routine,Day,Active,Sunny,Low,2023-07-15,2022-07-16,7,604.17,37.5
W-05,Qatar,Chevron,Routine,Night,Active,Cloudy,Low,2024-09-27,2024-07-30,0,635.09,45.4
W-12,Algeria,Chevron,Routine,Day,Active,Cloudy,Medium,2023-06-17,2022-06-04,2,364.19,28.6
W-05,North Sea,TotalEnergies,Routine,Night,Active,Cloudy,Medium,2023-04-12,2023-03-21,3,391.49,23.7
W-14,Algeria,ExxonMobil,Routine,Day,Active,Cloudy,Low,2023-12-09,2023-04-12,2,394.35,20.8
W-15,Abu Dhabi,BP,Routine,Day,Active,Rainy,Low,2024-11-20,2024-03-16,5,461.11,17.8
W-10,Algeria,Chevron,Routine,Day,Active,Sunny,Low,2023-06-19,2023-01-06,3,348.08,26.3
W-14,Texas,Shell,Routine,Day,Active,Sandstorm,Low,2024-04-15,2023-07-10,4,460.35,25.0
W-02,North Sea,Chevron,Routine,Night,Active,Cloudy,Medium,2024-06-17,2023-07-03,9,361.73,30.1
W-09,Texas,ExxonMobil,Corrective,Night,Active,Sandstorm,Low,2023-06-16,2023-06-13,2,444.57,32.7
W-04,Abu Dhabi,TotalEnergies,Routine,Day,Active,Sunny,Medium,2024-05-24,2023-07-15,3,426.07,25.4
W-06,Algeria,TotalEnergies,Routine,Night,Active,Sunny,Low,2023-09-15,2023-07-23,0,353.12,31.4
W-06,North Sea,ExxonMobil,Routine,Night,Active,Windy,Low,2024-03-18,2023-07-16,5,447.84,26.7
W-01,Texas,TotalEnergies,Routine,Day,Active,Rainy,Low,2024-03-19,2023-06-09,9,412.61,24.8
W-05,North Sea,BP,Routine,Day,Active,Windy,Low,2024-01-11,2023-06-01,3,405.98,31.9
W-06,Texas,BP,Routine,Day,Active,Windy,Medium,2023-03-05,2022-10-08,5,498.43,37.1
W-13,North Sea,Chevron,Corrective,Day,Active,Rainy,Medium,2024-08-07,2023-11-08,3,410.79,23.8
W-15,Algeria,TotalEnergies,Corrective,Night,Active,Windy,Medium,2023-08-13,2023-01-26,5,342.19,36.4
W-02,North Sea,Shell,Routine,Night,Active,Windy,Medium,2023-05-11,2022-04-25,6,366.64,29.7
W-02,Texas,TotalEnergies,Corrective,Night,Active,Rainy,Low,2023-01-29,2022-02-11,11,461.73,17.5
W-05,North Sea,Shell,Corrective,Night,Active,Windy,Critical,2024-02-18,2024-01-27,6,254.17,24.4
W-04,Texas,ExxonMobil,Routine,Day,Active,Windy,Low,2024-04-19,2024-01-23,1,522.77,29.4
W-04,North Sea,ExxonMobil,Routine,Day,Active,Sandstorm,Low,2023-01-12,2022-10-21,5,403.15,27.1
W-03,Algeria,ExxonMobil,Corrective,Night,Active,Sunny,Low,2023-12-25,2023-01-19,6,397.49,33.4
W-06,Qatar,ExxonMobil,Routine,Night,Active,Windy,Low,2023-06-08,2022-06-08,4,568.22,35.4
W-03,Algeria,ExxonMobil,Routine,Day,Active,Sandstorm,Medium,2024-03-27,2024-03-16,2,357.16,29.2
W-08,Abu Dhabi,BP,Corrective,Night,Active,Cloudy,Critical,2023-05-03,2022-04-02,4,395.18,33.1
W-09,Algeria,BP,Routine,Day,Active,Rainy,Low,2024-04-28,2023-09-26,4,390.13,28.0
W-14,Texas,Chevron,Corrective,Night,Standby,Sandstorm,Low,2023-09-28,2023-08-12,4,564.99,25.5
W-09,North Sea,Chevron,Routine,Day,Active,Sunny,Low,2024-10-17,2024-04-12,3,401.12,33.1
W-13,Texas,BP,Routine,Day,Active,Sunny,Low,2023-04-07,2023-03-22,4,465.56,28.1
W-06,Abu Dhabi,BP,Corrective,Night,Active,Cloudy,Low,2023-08-27,2022-12-17,6,318.91,32.2
W-14,Texas,Shell,Routine,Day,Active,Rainy,Low,2023-03-21,2022-10-01,6,460.02,31.7
W-07,Abu Dhabi,ExxonMobil,Emergency,Night,Active,Windy,Low,2024-10-09,2024-01-18,5,471.16,24.8
W-13,Texas,BP,Routine,Day,Failure,Sandstorm,Low,2024-09-06,2024-05-07,1,495.98,37.5
W-09,Abu Dhabi,Chevron,Routine,Day,Active,Rainy,Low,2023-06-30,2023-03-09,3,459.45,27.6
W-10,North Sea,TotalEnergies,Routine,Day,Failure,Cloudy,High,2024-04-06,2024-03-19,1,356.75,24.4
W-09,Abu Dhabi,BP,Routine,Night,Active,Rainy,Low,2024-07-26,2023-06-30,3,433.05,30.5
W-10,Abu Dhabi,Shell,Routine,Night,Active,Rainy,Medium,2024-01-24,2023-07-05,7,450.92,25.4
W-12,Abu Dhabi,ExxonMobil,Routine,Night,Active,Cloudy,Low,2024-01-06,2023-11-30,3,453.66,36.1
W-14,Qatar,Chevron,Routine,Day,Failure,Sunny,Low,2023-06-19,2023-02-24,4,702.79,28.2
W-13,Texas,ExxonMobil,Corrective,Day,Active,Rainy,Low,2023-03-07,2022-03-25,9,367.78,27.8
W-06,Qatar,ExxonMobil,Routine,Night,Active,Cloudy,Low,2024-09-20,2024-04-21,3,569.93,30.1
W-02,North Sea,ExxonMobil,Routine,Night,Standby,Sunny,Low,2024-09-22,2023-10-22,6,373.46,21.5
W-04,Abu Dhabi,BP,Routine,Day,Active,Sunny,Low,2024-03-19,2023-10-17,7,371.55,26.9
W-05,Qatar,Chevron,Routine,Day,Active,Cloudy,Medium,2023-08-26,2023-06-13,4,571.71,33.6
W-15,North Sea,Shell,Routine,Day,Active,Rainy,High,2023-09-02,2023-05-03,5,333.2,24.8
W-15,Algeria,TotalEnergies,Routine,Day,Active,Sandstorm,Medium,2024-05-23,2023-05-31,9,296.26,32.4
W-06,North Sea,Chevron,Routine,Day,Active,Sandstorm,Low,2024-09-19,2024-05-27,1,418.39,27.5
W-06,North Sea,ExxonMobil,Corrective,Night,Active,Sandstorm,Medium,2024-09-12,2024-05-26,4,428.82,37.0
W-06,Qatar,TotalEnergies,Corrective,Night,Active,Rainy,Low,2024-06-29,2024-01-16,7,574.21,33.4
W-08,Qatar,Shell,Routine,Night,Active,Sandstorm,Medium,2024-03-25,2023-06-07,8,480.05,26.6
W-13,Abu Dhabi,Chevron,Routine,Night,Active,Sandstorm,Low,2023-02-28,2022-08-03,7,422.36,30.7
W-14,Abu Dhabi,TotalEnergies,Routine,Night,Active,Sandstorm,Low,2023-04-24,2022-10-05,0,449.36,30.6
W-06,North Sea,TotalEnergies,Corrective,Day,Active,Sunny,Low,2024-09-20,2024-01-04,6,383.15,32.7
W-01,Texas,Shell,Routine,Day,Active,Cloudy,Low,2024-02-29,2023-12-12,2,535.02,33.0
W-07,North Sea,Shell,Routine,Night,Active,Rainy,Low,2023-01-07,2022-02-07,3,433.45,28.8
W-06,Abu Dhabi,BP,Routine,Night,Active,Sandstorm,High,2023-03-13,2023-01-30,2,383.24,29.4
W-08,Texas,TotalEnergies,Routine,Day,Active,Sunny,Medium,2024-04-09,2023-09-24,2,496.58,28.3
W-10,Abu Dhabi,TotalEnergies,Corrective,Day,Failure,Cloudy,Low,2023-01-04,2022-02-03,8,505.48,25.8
W-06,Abu Dhabi,Shell,Routine,Day,Failure,Rainy,Medium,2023-04-23,2023-03-18,3,387.74,28.9
W-14,Abu Dhabi,ExxonMobil,Routine,Day,Active,Sunny,High,2024-01-20,2023-08-22,10,370.9,27.6
W-15,Texas,BP,Routine,Day,Active,Sandstorm,Medium,2024-04-29,2023-06-14,5,429.58,33.7
W-10,North Sea,ExxonMobil,Routine,Day,Active,Sunny,Low,2024-04-01,2023-08-16,4,494.27,31.1
W-05,Abu Dhabi,Chevron,Routine,Day,Standby,Rainy,Low,2023-06-06,2023-02-25,2,534.73,28.3
W-15,Algeria,TotalEnergies,Routine,Day,Active,Cloudy,Medium,2024-05-13,2023-06-02,10,323.62,33.0
W-04,North Sea,BP,Corrective,Day,Active,Sunny,Low,2023-06-16,2022-09-23,6,369.3,40.6
W-09,Abu Dhabi,ExxonMobil,Emergency,Day,Active,Rainy,Low,2023-08-16,2022-11-03,5,439.63,22.1
W-01,Algeria,BP,Corrective,Night,Active,Sandstorm,Low,2024-06-06,2023-08-15,3,430.73,25.3
W-14,Texas,ExxonMobil,Routine,Day,Standby,Cloudy,Medium,2024-03-30,2024-01-21,4,427.17,18.6
W-08,Algeria,Chevron,Routine,Night,Active,Rainy,High,2024-08-17,2023-08-19,5,275.1,23.7
W-05,North Sea,BP,Routine,Day,Standby,Sunny,Medium,2024-04-05,2023-07-18,7,370.48,24.1
W-06,North Sea,Chevron,Routine,Night,Standby,Sunny,Low,2024-02-02,2023-04-14,3,402.03,36.5
W-10,North Sea,Chevron,Routine,Day,Active,Sunny,Low,2023-03-07,2022-07-30,4,392.02,25.1
W-05,Texas,TotalEnergies,Routine,Night,Active,Rainy,Low,2023-09-15,2023-05-28,7,424.77,28.3
W-02,Abu Dhabi,ExxonMobil,Routine,Day,Active,Sunny,Low,2023-07-05,2023-06-01,4,424.3,33.7
W-10,North Sea,Shell,Routine,Night,Active,Cloudy,Medium,2023-06-20,2022-10-05,3,416.33,28.8
W-04,North Sea,Chevron,Routine,Day,Active,Windy,Medium,2024-11-12,2024-03-02,7,381.25,30.3
W-11,Texas,Chevron,Emergency,Night,Active,Cloudy,Low,2023-10-03,2022-12-07,10,440.83,27.1
W-04,North Sea,TotalEnergies,Corrective,Night,Failure,Sandstorm,Medium,2024-09-16,2024-04-03,4,312.97,19.5
W-02,Algeria,ExxonMobil,Routine,Day,Active,Sandstorm,Low,2024-03-17,2023-11-17,5,324.05,18.5
W-07,North Sea,TotalEnergies,Routine,Day,Standby,Rainy,Medium,2024-07-10,2024-04-11,4,459.41,34.4
W-15,Abu Dhabi,ExxonMobil,Routine,Day,Standby,Windy,Low,2023-12-18,2023-06-16,5,451.26,33.6
W-01,Qatar,Chevron,Routine,Day,Standby,Rainy,Medium,2024-02-08,2023-11-16,3,554.25,31.4
W-04,Algeria,BP,Routine,Night,Active,Sandstorm,High,2023-12-11,2023-01-20,3,334.57,23.2
W-05,Qatar,BP,Emergency,Night,Active,Cloudy,Low,2023-05-17,2022-12-23,3,598.84,36.3
W-13,North Sea,BP,Routine,Night,Active,Sunny,Medium,2024-05-20,2023-10-14,7,367.78,20.1
